repository,file_path,language,extension,loc,size_bytes
flask,tests/test_basic.py,Python,.py,1974,54273
flask,tests/conftest.py,Python,.py,112,2546
flask,tests/test_converters.py,Python,.py,42,1093
flask,tests/test_logging.py,Python,.py,98,2529
flask,tests/test_signals.py,Python,.py,181,4864
flask,tests/test_request.py,Python,.py,70,1902
flask,tests/test_async.py,Python,.py,145,3335
flask,tests/test_session_interface.py,Python,.py,28,784
flask,tests/test_instance_config.py,Python,.py,111,3317
flask,tests/test_views.py,Python,.py,271,7058
flask,tests/test_json_tag.py,Python,.py,86,1998
flask,tests/test_subclassing.py,Python,.py,21,480
flask,tests/test_reqctx.py,Python,.py,249,6696
flask,tests/test_blueprints.py,Python,.py,1115,31287
flask,tests/test_config.py,Python,.py,250,7748
flask,tests/test_user_error_handler.py,Python,.py,295,8436
flask,tests/test_helpers.py,Python,.py,377,11218
flask,tests/test_json.py,Python,.py,346,8741
flask,tests/test_cli.py,Python,.py,703,20303
flask,tests/test_templating.py,Python,.py,532,15403
flask,tests/test_appctx.py,Python,.py,265,6827
flask,tests/test_regression.py,Python,.py,30,712
flask,tests/test_testing.py,Python,.py,398,10563
flask,tests/test_apps/blueprintapp/__init__.py,Python,.py,9,256
flask,tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0
flask,tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,14,327
flask,tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,20,366
flask,tests/test_apps/helloworld/hello.py,Python,.py,8,104
flask,tests/test_apps/helloworld/wsgi.py,Python,.py,1,36
flask,tests/test_apps/subdomaintestmodule/__init__.py,Python,.py,3,73
flask,tests/test_apps/cliapp/importerrorapp.py,Python,.py,5,73
flask,tests/test_apps/cliapp/__init__.py,Python,.py,0,0
flask,tests/test_apps/cliapp/factory.py,Python,.py,13,169
flask,tests/test_apps/cliapp/multiapp.py,Python,.py,4,67
flask,tests/test_apps/cliapp/app.py,Python,.py,3,52
flask,tests/test_apps/cliapp/inner1/__init__.py,Python,.py,3,55
flask,tests/test_apps/cliapp/inner1/inner2/flask.py,Python,.py,3,47
flask,tests/test_apps/cliapp/inner1/inner2/__init__.py,Python,.py,0,0
flask,tests/type_check/typing_route.py,Python,.py,112,2532
flask,tests/type_check/typing_app_decorators.py,Python,.py,32,589
flask,tests/type_check/typing_error_handler.py,Python,.py,33,647
flask,docs/conf.py,Python,.py,101,3386
flask,examples/tutorial/tests/conftest.py,Python,.py,62,1454
flask,examples/tutorial/tests/test_auth.py,Python,.py,69,2070
flask,examples/tutorial/tests/test_db.py,Python,.py,29,616
flask,examples/tutorial/tests/test_factory.py,Python,.py,12,298
flask,examples/tutorial/tests/test_blog.py,Python,.py,83,2503
flask,examples/tutorial/flaskr/auth.py,Python,.py,116,3296
flask,examples/tutorial/flaskr/db.py,Python,.py,56,1317
flask,examples/tutorial/flaskr/__init__.py,Python,.py,48,1406
flask,examples/tutorial/flaskr/blog.py,Python,.py,125,3305
flask,examples/celery/make_celery.py,Python,.py,4,102
flask,examples/celery/src/task_app/tasks.py,Python,.py,23,484
flask,examples/celery/src/task_app/__init__.py,Python,.py,39,1024
flask,examples/celery/src/task_app/views.py,Python,.py,38,954
flask,examples/javascript/js_example/__init__.py,Python,.py,5,91
flask,examples/javascript/js_example/views.py,Python,.py,18,429
flask,examples/javascript/tests/test_js_example.py,Python,.py,27,727
flask,examples/javascript/tests/conftest.py,Python,.py,15,216
flask,src/flask/logging.py,Python,.py,79,2377
flask,src/flask/signals.py,Python,.py,17,750
flask,src/flask/sessions.py,Python,.py,385,14969
flask,src/flask/config.py,Python,.py,367,13219
flask,src/flask/templating.py,Python,.py,212,7336
flask,src/flask/globals.py,Python,.py,77,2414
flask,src/flask/__init__.py,Python,.py,39,2072
flask,src/flask/blueprints.py,Python,.py,128,4541
flask,src/flask/cli.py,Python,.py,1127,36836
flask,src/flask/wrappers.py,Python,.py,257,9406
flask,src/flask/app.py,Python,.py,1628,65472
flask,src/flask/debughelpers.py,Python,.py,179,6070
flask,src/flask/ctx.py,Python,.py,540,18261
flask,src/flask/typing.py,Python,.py,87,3114
flask,src/flask/testing.py,Python,.py,298,10134
flask,src/flask/helpers.py,Python,.py,682,24628
flask,src/flask/__main__.py,Python,.py,3,30
flask,src/flask/views.py,Python,.py,191,6971
flask,src/flask/sansio/blueprints.py,Python,.py,692,27017
flask,src/flask/sansio/app.py,Python,.py,1013,39495
flask,src/flask/sansio/scaffold.py,Python,.py,800,30633
flask,src/flask/json/provider.py,Python,.py,215,7644
flask,src/flask/json/__init__.py,Python,.py,170,5583
flask,src/flask/json/tag.py,Python,.py,327,9281
requests,setup.py,Python,.py,9,179
requests,tests/test_utils.py,Python,.py,1013,31454
requests,tests/conftest.py,Python,.py,67,1934
requests,tests/test_structures.py,Python,.py,91,2757
requests,tests/test_packages.py,Python,.py,13,229
requests,tests/test_testserver.py,Python,.py,165,5547
requests,tests/compat.py,Python,.py,23,480
requests,tests/__init__.py,Python,.py,14,469
requests,tests/test_hooks.py,Python,.py,22,424
requests,tests/test_requests.py,Python,.py,3094,108534
requests,tests/utils.py,Python,.py,17,366
requests,tests/test_adapters.py,Python,.py,8,314
requests,tests/test_help.py,Python,.py,27,839
requests,tests/test_lowlevel.py,Python,.py,428,15343
requests,tests/testserver/server.py,Python,.py,176,5147
requests,tests/testserver/__init__.py,Python,.py,0,0
requests,docs/conf.py,Python,.py,385,12148
requests,docs/_themes/flask_theme_support.py,Python,.py,86,4875
requests,src/requests/cookies.py,Python,.py,625,21504
requests,src/requests/auth.py,Python,.py,354,12107
requests,src/requests/sessions.py,Python,.py,920,34072
requests,src/requests/_types.py,Python,.py,188,6041
requests,src/requests/hooks.py,Python,.py,48,1138
requests,src/requests/compat.py,Python,.py,115,2494
requests,src/requests/models.py,Python,.py,1184,41462
requests,src/requests/certs.py,Python,.py,18,430
requests,src/requests/__init__.py,Python,.py,219,5637
requests,src/requests/status_codes.py,Python,.py,128,4351
requests,src/requests/packages.py,Python,.py,23,904
requests,src/requests/__version__.py,Python,.py,14,435
requests,src/requests/api.py,Python,.py,180,7152
requests,src/requests/_internal_utils.py,Python,.py,51,1542
requests,src/requests/utils.py,Python,.py,1155,36061
requests,src/requests/exceptions.py,Python,.py,162,4564
requests,src/requests/structures.py,Python,.py,130,4134
requests,src/requests/help.py,Python,.py,132,4068
requests,src/requests/adapters.py,Python,.py,748,27992
pytest,bench/bench_argcomplete.py,Python,.py,22,631
pytest,bench/unit_test.py,Python,.py,16,291
pytest,bench/skip.py,Python,.py,12,166
pytest,bench/manyparam.py,Python,.py,16,205
pytest,bench/empty.py,Python,.py,5,98
pytest,bench/bench.py,Python,.py,17,383
pytest,bench/xunit.py,Python,.py,14,236
pytest,testing/test_legacypath.py,Python,.py,187,5869
pytest,testing/test_setuponly.py,Python,.py,321,8225
pytest,testing/test_assertrewrite.py,Python,.py,2457,78355
pytest,testing/test_subtests.py,Python,.py,1075,34848
pytest,testing/conftest.py,Python,.py,251,8065
pytest,testing/test_collect_imported_tests.py,Python,.py,102,2889
pytest,testing/test_warnings.py,Python,.py,1172,39204
pytest,testing/test_mark.py,Python,.py,1545,45861
pytest,testing/test_faulthandler.py,Python,.py,221,6740
pytest,testing/test_recwarn.py,Python,.py,655,24695
pytest,testing/test_session.py,Python,.py,485,15535
pytest,testing/test_skipping.py,Python,.py,1569,45601
pytest,testing/test_python_path.py,Python,.py,130,4065
pytest,testing/test_pastebin.py,Python,.py,212,7105
pytest,testing/test_conftest.py,Python,.py,1086,34932
pytest,testing/test_nodes.py,Python,.py,164,5404
pytest,testing/test_unittest.py,Python,.py,1743,51378
pytest,testing/test_scope.py,Python,.py,41,1382
pytest,testing/test_setupplan.py,Python,.py,122,3534
pytest,testing/typing_checks.py,Python,.py,80,1925
pytest,testing/test_collection.py,Python,.py,2799,94587
pytest,testing/test_terminal.py,Python,.py,3578,118988
pytest,testing/test_threadexception.py,Python,.py,255,7182
pytest,testing/typing_raises_group.py,Python,.py,240,8364
pytest,testing/test_error_diffs.py,Python,.py,296,8675
pytest,testing/test_reports.py,Python,.py,605,23666
pytest,testing/test_pluginmanager.py,Python,.py,580,21001
pytest,testing/test_runner.py,Python,.py,1279,40471
pytest,testing/test_monkeypatch.py,Python,.py,690,18934
pytest,testing/test_doctest.py,Python,.py,1794,55419
pytest,testing/test_compat.py,Python,.py,204,4949
pytest,testing/test_config.py,Python,.py,3508,121057
pytest,testing/test_capture.py,Python,.py,1772,55906
pytest,testing/test_parseopt.py,Python,.py,508,20298
pytest,testing/test_nodeid.py,Python,.py,174,6738
pytest,testing/test_link_resolve.py,Python,.py,84,2379
pytest,testing/test_entry_points.py,Python,.py,10,315
pytest,testing/test_helpconfig.py,Python,.py,197,6821
pytest,testing/test_debugging.py,Python,.py,1442,46590
pytest,testing/test_cacheprovider.py,Python,.py,1455,50026
pytest,testing/test_meta.py,Python,.py,34,793
pytest,testing/test_unraisableexception.py,Python,.py,529,16687
pytest,testing/test_findpaths.py,Python,.py,266,10314
pytest,testing/test_assertion.py,Python,.py,3092,101498
pytest,testing/test_warning_types.py,Python,.py,50,1508
pytest,testing/test_pytester.py,Python,.py,864,28203
pytest,testing/test_argcomplete.py,Python,.py,99,3235
pytest,testing/test_mark_expression.py,Python,.py,356,11738
pytest,testing/test_main.py,Python,.py,372,12797
pytest,testing/test_tmpdir.py,Python,.py,901,29950
pytest,testing/deprecated_test.py,Python,.py,367,12226
pytest,testing/test_stash.py,Python,.py,69,1876
pytest,testing/acceptance_test.py,Python,.py,1769,61200
pytest,testing/test_junitxml.py,Python,.py,1883,61790
pytest,testing/test_runner_xunit.py,Python,.py,297,7857
pytest,testing/test_stepwise.py,Python,.py,545,16450
pytest,testing/test_pathlib.py,Python,.py,1791,64148
pytest,testing/test_assertrewrite_coverage.py,Python,.py,1231,39694
pytest,testing/freeze/create_executable.py,Python,.py,16,463
pytest,testing/freeze/tox_run.py,Python,.py,17,424
pytest,testing/freeze/runtests_script.py,Python,.py,14,230
pytest,testing/freeze/tests/test_trivial.py,Python,.py,10,170
pytest,testing/python/approx.py,Python,.py,1768,66216
pytest,testing/python/show_fixtures_per_test.py,Python,.py,328,9629
pytest,testing/python/collect.py,Python,.py,1751,56417
pytest,testing/python/metafunc.py,Python,.py,2526,84975
pytest,testing/python/raises_group.py,Python,.py,1370,55895
pytest,testing/python/integration.py,Python,.py,465,14076
pytest,testing/python/raises.py,Python,.py,515,19250
pytest,testing/python/fixtures.py,Python,.py,6280,195194
pytest,testing/plugins_integration/pytest_mock_integration.py,Python,.py,6,112
pytest,testing/plugins_integration/pytest_rerunfailures_integration.py,Python,.py,13,304
pytest,testing/plugins_integration/pytest_twisted_integration.py,Python,.py,21,416
pytest,testing/plugins_integration/django_settings.py,Python,.py,4,61
pytest,testing/plugins_integration/simple_integration.py,Python,.py,13,186
pytest,testing/plugins_integration/pytest_trio_integration.py,Python,.py,11,158
pytest,testing/plugins_integration/bdd_wallet.py,Python,.py,42,681
pytest,testing/plugins_integration/pytest_asyncio_integration.py,Python,.py,11,167
pytest,testing/plugins_integration/pytest_anyio_integration.py,Python,.py,11,161
pytest,testing/io/test_saferepr.py,Python,.py,231,6131
pytest,testing/io/test_pprint.py,Python,.py,711,21006
pytest,testing/io/test_wcwidth.py,Python,.py,40,861
pytest,testing/io/test_terminalwriter.py,Python,.py,325,9875
pytest,testing/code/test_excinfo.py,Python,.py,2268,77215
pytest,testing/code/test_code.py,Python,.py,227,6033
pytest,testing/code/test_source.py,Python,.py,726,18321
pytest,testing/examples/test_issue519.py,Python,.py,9,239
pytest,testing/_py/test_local.py,Python,.py,1580,52632
pytest,testing/logging/test_fixture.py,Python,.py,544,18327
pytest,testing/logging/test_reporting.py,Python,.py,1581,48577
pytest,testing/logging/test_formatter.py,Python,.py,187,5407
pytest,testing/example_scripts/issue_519.py,Python,.py,54,1456
pytest,testing/example_scripts/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/collect/package_infinite_recursion/conftest.py,Python,.py,6,125
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/test_basic.py,Python,.py,6,85
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/collect/collect_init_tests/tests/__init__.py,Python,.py,6,90
pytest,testing/example_scripts/collect/collect_init_tests/tests/test_foo.py,Python,.py,6,89
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,Python,.py,6,90
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/test_foo.py,Python,.py,6,89
